prompt_key,prompt_folder,prompt_text,vendi_pixel__base,ourmethod_value,vendi_pixel__cads,vendi_pixel__pg,vendi_pixel__dpp,vendi_pixel__mix,vendi_pixel__apg
a_television_on_the_right_of_a_cow,a_television_on_the_right_of_a_cow,a television on the right of a cow,2.2881,2.401,2.3257,2.2016,2.3981,2.5495,2.2904
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,2.3924,2.3808,2.4111,2.204,2.2065,2.489,2.3873
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,2.2173,2.2739,2.214,2.1401,2.183,2.2418,2.217
a_cat_on_the_bottom_of_a_car,a_cat_on_the_bottom_of_a_car,a cat on the bottom of a car,2.1465,2.2176,2.165,2.0748,2.2102,2.2864,2.1469
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,2.1532,2.1479,2.1654,2.0539,1.9498,2.2806,2.1537
a_couch_on_the_right_of_a_turtle,a_couch_on_the_right_of_a_turtle,a couch on the right of a turtle,2.0482,2.1232,2.0418,1.9517,2.2113,2.1126,2.0473
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,2.0979,2.0715,2.1043,1.9936,2.0876,2.1399,2.0971
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.0834,2.0631,2.0908,1.9883,2.059,2.2006,2.0824
a_yellow_bench_and_a_green_dog,a_yellow_bench_and_a_green_dog,a yellow bench and a green dog,1.9856,1.9816,1.9658,1.9112,2.2095,2.1061,1.9934
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,1.8743,1.9447,1.8848,1.7942,2.1359,2.0846,1.8741
a_fish_on_the_left_of_a_microwave,a_fish_on_the_left_of_a_microwave,a fish on the left of a microwave,1.8625,1.9353,1.8637,1.8126,2.2201,2.0241,1.862
a_green_bench_and_a_blue_car,a_green_bench_and_a_blue_car,a green bench and a blue car,1.8933,1.9245,1.9101,1.8367,1.835,2.0557,1.8939
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,1.8252,1.8916,1.8304,1.7634,1.8751,1.9094,1.8257
a_cat_near_a_table,a_cat_near_a_table,a cat near a table,1.8622,1.8853,1.8779,1.7876,2.1164,2.0517,1.8623
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1.7695,1.8532,1.7755,1.7147,1.9435,1.8651,1.7693
a_red_car_and_a_gold_clock,a_red_car_and_a_gold_clock,a red car and a gold clock,1.8805,1.8506,1.8988,1.8164,2.2627,2.0201,1.8816
a_sheep_near_a_car,a_sheep_near_a_car,a sheep near a car,1.7017,1.835,1.7133,1.6293,1.9967,1.894,1.702
a_turtle_on_the_left_of_a_painting,a_turtle_on_the_left_of_a_painting,a turtle on the left of a painting,1.6436,1.8321,1.6511,1.5662,1.7749,1.8426,1.6431
a_phone_on_the_left_of_a_boy,a_phone_on_the_left_of_a_boy,a phone on the left of a boy,1.819,1.8296,1.8258,1.7193,1.8358,1.8939,1.8191
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,1.7831,1.8219,1.7806,1.7288,1.6961,1.8058,1.7841
a_person_on_the_left_of_a_microwave,a_person_on_the_left_of_a_microwave,a person on the left of a microwave,1.8163,1.813,1.8186,1.7431,2.079,1.9618,1.8168
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,1.7692,1.8001,1.7702,1.713,1.7154,1.9753,1.7691
the_black_chair_was_on_the_left_of_the_brown_table,The_black_chair_was_on_the_left_of_the_brown_table,The black chair was on the left of the brown table,1.7766,1.7911,1.7843,1.7025,2.1041,1.7572,1.7762
a_wallet_on_the_right_of_a_bee,a_wallet_on_the_right_of_a_bee,a wallet on the right of a bee,1.698,1.79,1.7062,1.6252,1.7165,1.8542,1.6983
a_gold_car_and_a_red_clock,a_gold_car_and_a_red_clock,a gold car and a red clock,1.7965,1.7715,1.7948,1.7328,1.762,1.8816,1.7956
the_brown_dog_is_lying_on_the_blue_pillow,The_brown_dog_is_lying_on_the_blue_pillow,The brown dog is lying on the blue pillow,1.7654,1.77,1.7675,1.6919,1.6765,1.8434,1.7646
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.7561,1.7648,1.7232,1.69,1.7086,1.8105,1.7556
a_train_on_the_left_of_a_boy,a_train_on_the_left_of_a_boy,a train on the left of a boy,1.6759,1.7439,1.6732,1.6069,1.5977,1.8709,1.6759
a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,1.7099,1.733,1.7287,1.6498,1.6622,1.8021,1.71
a_girl_on_the_left_of_a_frog,a_girl_on_the_left_of_a_frog,a girl on the left of a frog,1.7277,1.7328,1.7329,1.6577,2.239,1.9541,1.7274
