metric,prompt_key,prompt_folder,prompt_text,ourmethod_value,worst_value,worst_methods,best_method,best_value,gap_to_best,base,ourmethod,cads,pg,dpp,mix,apg
vendi_inception,a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,2.0863,2.0863,ourmethod,dpp,2.4656,0.37929999999999975,2.1587,2.0863,2.147,2.1001,2.4656,2.2046,2.1447
vendi_inception,a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1.5976,1.5976,ourmethod,mix,1.9515,0.3539000000000001,1.7656,1.5976,1.8452,1.9402,1.9494,1.9515,1.7851
vendi_inception,the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,1.7412,1.7412,ourmethod,dpp,2.0922,0.351,1.8713,1.7412,1.9983,1.9644,2.0922,1.8739,1.8681
vendi_inception,a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,1.8477,1.8477,ourmethod,dpp,2.1837,0.3360000000000001,2.1257,1.8477,2.0153,2.0383,2.1837,1.9212,2.1279
vendi_inception,a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1.75,1.75,ourmethod,dpp,2.0466,0.2966000000000002,1.824,1.75,1.8539,1.7874,2.0466,1.9861,1.8207
vendi_inception,the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1.8185,1.8185,ourmethod,dpp,2.0997,0.2811999999999999,1.8942,1.8185,1.9979,1.9146,2.0997,2.099,1.9079
vendi_inception,a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,2.0696,2.0696,ourmethod,dpp,2.3233,0.25370000000000026,2.0755,2.0696,2.1518,2.0894,2.3233,2.2314,2.0762
vendi_inception,the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1.3366,1.3366,ourmethod,dpp,1.5649,0.22829999999999995,1.3726,1.3366,1.5053,1.3847,1.5649,1.4418,1.372
vendi_inception,a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1.7572,1.7572,ourmethod,dpp,1.9601,0.20289999999999986,1.9396,1.7572,1.8272,1.8313,1.9601,1.9587,1.9422
vendi_inception,a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,1.993,1.993,ourmethod,dpp,2.1873,0.19429999999999992,2.1301,1.993,2.0801,2.056,2.1873,2.0461,2.1298
vendi_inception,a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1.8259,1.8259,ourmethod,cads,2.0082,0.1822999999999999,1.9074,1.8259,2.0082,1.9561,1.9348,1.9592,1.9167
vendi_inception,a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,2.0423,2.0423,ourmethod,cads,2.2171,0.17479999999999984,2.216,2.0423,2.2171,2.2126,2.2045,2.1506,2.2153
vendi_inception,a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock,1.9156,1.9156,ourmethod,dpp,2.0755,0.15989999999999993,1.9576,1.9156,2.001,1.9443,2.0755,1.9739,1.9997
vendi_inception,a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,1.9861,1.9861,ourmethod,mix,2.1294,0.14329999999999998,2.0722,1.9861,1.9865,2.0833,2.0951,2.1294,2.0765
vendi_inception,a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,2.2703,2.2703,ourmethod,dpp,2.3574,0.08709999999999996,2.3006,2.2703,2.2793,2.2745,2.3574,2.3534,2.3075
