prompt_key,prompt_folder,prompt_text,num_metrics_worst,worst_metrics,max_gap_to_best,avg_gap_to_best
a_giraffe_on_the_top_of_a_man,a_giraffe_on_the_top_of_a_man,a giraffe on the top of a man,2,"clip_score,one_minus_ms_ssim",7.4436000000000035,3.7779000000000016
the_silver_laptop_was_on_top_of_the_black_desk,The_silver_laptop_was_on_top_of_the_black_desk,The silver laptop was on top of the black desk,2,"clip_score,vendi_inception",2.363999999999997,1.3574999999999986
a_green_bench_and_a_brown_dog,a_green_bench_and_a_brown_dog,a green bench and a brown dog,2,"one_minus_ms_ssim,vendi_inception",0.3360000000000001,0.20905000000000007
the_green_plant_was_on_the_right_the_white_wall,The_green_plant_was_on_the_right_the_white_wall,The green plant was on the right the white wall,2,"one_minus_ms_ssim,vendi_pixel",0.2792000000000001,0.24675000000000002
a_brown_dog_and_a_blue_horse,a_brown_dog_and_a_blue_horse,a brown dog and a blue horse,1,clip_score,5.5416000000000025,5.5416000000000025
a_man_on_the_right_of_a_plate,a_man_on_the_right_of_a_plate,a man on the right of a plate,1,clip_score,4.606999999999999,4.606999999999999
a_boy_on_the_top_of_a_bag,a_boy_on_the_top_of_a_bag,a boy on the top of a bag,1,clip_score,4.068300000000001,4.068300000000001
a_blue_bench_and_a_green_car,a_blue_bench_and_a_green_car,a blue bench and a green car,1,clip_score,2.9735000000000014,2.9735000000000014
a_bee_on_the_top_of_a_airplane,a_bee_on_the_top_of_a_airplane,a bee on the top of a airplane,1,clip_score,2.7734999999999985,2.7734999999999985
a_cup_on_the_left_of_a_fish,a_cup_on_the_left_of_a_fish,a cup on the left of a fish,1,clip_score,2.7445999999999984,2.7445999999999984
a_red_bench_and_a_green_car,a_red_bench_and_a_green_car,a red bench and a green car,1,clip_score,1.636100000000006,1.636100000000006
the_rectangular_mirror_was_hung_above_the_blue_sink,The_rectangular_mirror_was_hung_above_the_blue_sink,The rectangular mirror was hung above the blue sink,1,clip_score,1.4757999999999996,1.4757999999999996
a_brown_car_and_a_red_elephant,a_brown_car_and_a_red_elephant,a brown car and a red elephant,1,vendi_inception,0.37929999999999975,0.37929999999999975
a_computer_on_the_left_of_a_pig,a_computer_on_the_left_of_a_pig,a computer on the left of a pig,1,vendi_inception,0.3539000000000001,0.3539000000000001
a_bowl_on_the_right_of_a_chicken,a_bowl_on_the_right_of_a_chicken,a bowl on the right of a chicken,1,vendi_inception,0.2966000000000002,0.2966000000000002
the_black_phone_was_resting_on_the_brown_charger,The_black_phone_was_resting_on_the_brown_charger,The black phone was resting on the brown charger,1,vendi_inception,0.2811999999999999,0.2811999999999999
a_bag_on_the_bottom_of_a_chicken,a_bag_on_the_bottom_of_a_chicken,a bag on the bottom of a chicken,1,vendi_inception,0.25370000000000026,0.25370000000000026
the_red_apple_was_on_top_of_the_white_plate,The_red_apple_was_on_top_of_the_white_plate,The red apple was on top of the white plate,1,vendi_inception,0.22829999999999995,0.22829999999999995
a_sheep_on_the_top_of_a_backpack,a_sheep_on_the_top_of_a_backpack,a sheep on the top of a backpack,1,vendi_inception,0.20289999999999986,0.20289999999999986
a_green_bench_and_a_red_car,a_green_bench_and_a_red_car,a green bench and a red car,1,vendi_inception,0.19429999999999992,0.19429999999999992
a_green_bench_and_a_yellow_dog,a_green_bench_and_a_yellow_dog,a green bench and a yellow dog,1,vendi_inception,0.1822999999999999,0.1822999999999999
a_computer_on_the_bottom_of_a_horse,a_computer_on_the_bottom_of_a_horse,a computer on the bottom of a horse,1,vendi_inception,0.17479999999999984,0.17479999999999984
a_red_car_and_a_brown_clock,a_red_car_and_a_brown_clock,a red car and a brown clock,1,vendi_inception,0.15989999999999993,0.15989999999999993
a_dog_on_the_top_of_a_suitcase,a_dog_on_the_top_of_a_suitcase,a dog on the top of a suitcase,1,vendi_inception,0.14329999999999998,0.14329999999999998
a_bicycle_on_the_top_of_a_chicken,a_bicycle_on_the_top_of_a_chicken,a bicycle on the top of a chicken,1,one_minus_ms_ssim,0.1028,0.1028
a_pink_car_and_a_red_elephant,a_pink_car_and_a_red_elephant,a pink car and a red elephant,1,vendi_pixel,0.09499999999999997,0.09499999999999997
a_blue_dog_and_a_brown_horse,a_blue_dog_and_a_brown_horse,a blue dog and a brown horse,1,vendi_inception,0.08709999999999996,0.08709999999999996
a_bag_on_the_right_of_a_butterfly,a_bag_on_the_right_of_a_butterfly,a bag on the right of a butterfly,1,one_minus_ms_ssim,0.08300000000000007,0.08300000000000007
the_wooden_spoon_was_next_to_the_green_bowl,The_wooden_spoon_was_next_to_the_green_bowl,The wooden spoon was next to the green bowl,1,vendi_pixel,0.07580000000000009,0.07580000000000009
the_black_chair_is_on_the_right_of_the_silver_desk,The_black_chair_is_on_the_right_of_the_silver_desk,The black chair is on the right of the silver desk,1,one_minus_ms_ssim,0.07009999999999994,0.07009999999999994
a_fish_on_the_top_of_a_bowl,a_fish_on_the_top_of_a_bowl,a fish on the top of a bowl,1,one_minus_ms_ssim,0.049900000000000055,0.049900000000000055
a_microwave_on_the_bottom_of_a_rabbit,a_microwave_on_the_bottom_of_a_rabbit,a microwave on the bottom of a rabbit,1,one_minus_ms_ssim,0.03920000000000001,0.03920000000000001
