method,concept,guidance,k,entropy_mean,entropy_std
cads,truck,3.0,10,0.38987101040947236,0.037952276990226186
cads,truck,5.0,10,0.34529244026385914,0.03463519844377203
cads,truck,7.5,10,0.3067728383247889,0.021019949683232383
dpp,truck,3.0,10,0.5387634967851748,0.05893904312703992
dpp,truck,5.0,10,0.48126142495510293,0.05649619111207294
dpp,truck,7.5,10,0.42272310844912947,0.05465223599111396
ourmethod,truck,3.0,10,0.5796533112876598,0.03331335926286173
ourmethod,truck,5.0,10,0.50327974859937683,0.0386424512782241
ourmethod,truck,7.5,10,0.4106506563731911,0.028728518024539178
pg,truck,3.0,10,0.35447668775210345,0.03354173339317108
pg,truck,5.0,10,0.3223399840103581,0.03457409840953242
pg,truck,7.5,10,0.30923165636381134,0.00876518933478018
