method,concept,guidance,k,entropy_mean,entropy_std
CADS,bicycle,3,10,0.3377649007391928,0.028065416829664364
CADS,bicycle,5,10,0.3109682221270263,0.0449362605042584
CADS,bicycle,7.5,10,0.2457177546240345,0.05854805567316284
DPP,bicycle,3,10,0.32896039816353806,0.020041444819652546
DPP,bicycle,5,10,0.3391902302271671,0.04555359914488409
DPP,bicycle,7.5,10,0.2984324297038993,0.04131335322497011
OSCAR,bicycle,3,10,0.3203383198574139,0.012101817229698638
OSCAR,bicycle,5,10,0.2875864551432154,0.024354374167726726
OSCAR,bicycle,7.5,10,0.2620262877524617,0.060790181153805495
PG,bicycle,3,10,0.2633676640869127,0.022899462314811922
PG,bicycle,5,10,0.23251366818794175,0.06208592652052898
PG,bicycle,7.5,10,0.22190907360132733,0.07390235401592865
