method,steps,seeds,num_images_mean,num_images_std,vendi_pixel_mean,vendi_pixel_std,vendi_inception_mean,vendi_inception_std,fid_mean,fid_std,kid_mean_mean,kid_mean_std,kid_std_mean,kid_std_std,clip_score_mean,clip_score_std,one_minus_ms_ssim_mean,one_minus_ms_ssim_std,brisque_mean,brisque_std
ourmethod,10,4,32.0,0.0,1.9150418671254532,0.04643086265877598,2.780164659023285,0.14745529653386363,165.31605826399402,0.7954673956791255,-0.003979218923730038,0.0002535771961173792,0.001221268382282702,0.0003027200993993501,18.7691650390625,0.4581577730621215,0.8196663476268885,0.007286770296601113,44.042019844055176,1.3817742993214868
ourmethod,20,4,32.0,0.0,2.063963829194746,0.05919165515638993,2.7742254734039307,0.06833762683029652,164.7543104252468,0.657572611715571,-0.0034951238157440003,0.00019481217770116847,0.0013376434791590585,0.0001430050177949499,18.581298828125,0.5765879362675812,0.8202295050253261,0.007239103904915346,17.728187561035156,1.2172256598806934
ourmethod,40,4,32.0,0.0,2.074097856281432,0.0650370923520936,2.7390642166137695,0.04618983581713686,165.40205848017973,0.93923542388569,-0.0039059043390348267,0.00025611995941709196,0.00136508470940908,0.00024798893590777184,18.1064453125,0.6884033452775243,0.834677184597372,0.004186666111572494,12.303325653076172,1.2562865675288175
pg,10,4,32.0,0.0,1.6420162499473279,0.04686053940576762,2.8542202711105347,0.09235893355407906,165.3872727379307,2.030136926975484,-0.004017514724561039,0.00022236695058857226,0.001228516969748258,0.00029414518028974266,19.118408203125,0.4024040892950015,0.7927343689930434,0.004575813386159799,105.03809213638306,3.941602904096017
pg,20,4,32.0,0.0,1.7236472480271579,0.05799330492856209,2.931570529937744,0.07950196370307458,166.48966583942035,2.3896856567652875,-0.003797546813012898,0.0003817910800270767,0.0012631939838869664,0.00017156338492715377,18.927978515625,0.3634392726217542,0.7940615811079872,0.007299875471497229,71.26451778411865,3.237562560061279
pg,40,4,32.0,0.0,1.7405303666365244,0.05811869853129181,2.8835566639900208,0.052570450924240765,167.33503317413428,2.1268585550233117,-0.0041249578340876395,0.00036784721733371464,0.0013144113866761986,0.00028125379833523296,18.2252197265625,0.7598045751006653,0.7933938128311144,0.00661598162043553,48.753830909729004,2.8458650676410073
cads,10,4,32.0,0.0,1.7794419530366437,0.03551111013901041,2.8721574544906616,0.06633055148757908,166.941135512323,1.0307685890481781,-0.004083815627052156,0.0002396880431603388,0.001224872573282883,0.00033764379433395483,18.974365234375,0.38549642339054124,0.8048716834283349,0.008113788294692276,56.84135580062866,1.8057217590727201
cads,20,4,32.0,0.0,1.9425194800902164,0.050193689772709556,2.865136206150055,0.11865176025043961,166.12571846912033,1.2201062738653723,-0.0037832474198906062,0.0003520804172598883,0.0012610458170773929,0.0001533974106992644,18.9036865234375,0.4621454778881787,0.8080914453964165,0.006153430427320926,27.50826930999756,0.9523839008928013
cads,40,4,32.0,0.0,1.9785036835042833,0.057283339936389704,2.7720852494239807,0.09927790012358714,165.83923232270274,0.9460790726900226,-0.0040775185945947316,0.0003078678501104837,0.0012992567504193672,0.00025507348001047595,18.3505859375,0.6277182911883705,0.8159312567296007,0.006556996453320002,15.749971389770508,0.7303819998273227
dpp,10,4,32.0,0.0,1.753016336568125,0.048450306577118435,2.8379120230674744,0.03922827982296618,166.21314465792392,1.279560978282256,-0.004102514198377466,0.0004986045240782945,0.0012226198101055693,0.00037861191024481344,18.97607421875,0.41927317111230367,0.7995685448380176,0.004072327102571661,61.198527336120605,2.2306840190018207
dpp,20,4,32.0,0.0,1.855441244972058,0.06358083359407374,2.806612551212311,0.07265146043435913,165.85817362135637,0.72028906293572,-0.0037249539497869965,0.00017407680772918755,0.0013090017838836715,0.00014798080711805634,18.6378173828125,0.45849589874945934,0.8061897606439381,0.007084265835981747,26.50513458251953,1.978259243275644
dpp,40,4,32.0,0.0,1.8827309600968998,0.05660630388263886,2.8340548276901245,0.0453283206622814,166.50902132165064,1.5299823279023685,-0.004088260588901593,0.0001709764050878394,0.0013414312939365087,0.0002450563420325841,17.90557861328125,0.7912255122527082,0.8104935524726571,0.0058207637754640554,13.801809310913086,1.4192357481219047
